HCPCS_CODE,HCPCS_DESCRIPTION,YEAR,NUMBER_OF_SUPPLIER_BENEFICIARIES,NUMBER_OF_SUPPLIER_CLAIMS
B4034,"Enteral feeding supply kit; syringe fed, per day, includes but not limited to feeding/flushing syringe, administration set tubing, dressings, tape",2015,1040.0,106336.0
B4035,"Enteral feeding supply kit;  pump fed, per day, includes but not limited to feeding/flushing syringe, administration set tubing, dressings, tape",2013,15406.0,419118.0
B4035,"Enteral feeding supply kit;  pump fed, per day, includes but not limited to feeding/flushing syringe, administration set tubing, dressings, tape",2014,11919.0,397022.0
B4035,"Enteral feeding supply kit;  pump fed, per day, includes but not limited to feeding/flushing syringe, administration set tubing, dressings, tape",2015,10377.0,345383.0
B4036,"Enteral feeding supply kit; gravity fed, per day, includes but not limited to feeding/flushing syringe, administration set tubing, dressings, tape",2013,721.0,27705.0
B4036,"Enteral feeding supply kit; gravity fed, per day, includes but not limited to feeding/flushing syringe, administration set tubing, dressings, tape",2014,516.0,26278.0
B4036,"Enteral feeding supply kit; gravity fed, per day, includes but not limited to feeding/flushing syringe, administration set tubing, dressings, tape",2015,475.0,25767.0
B4082,Nasogastric tubing without stylet,2013,0.0,50.0
B4082,Nasogastric tubing without stylet,2014,0.0,11.0
B4083,Stomach tube - levine type,2015,0.0,33.0
B4087,"Gastrostomy/jejunostomy tube, standard, any material, any type, each",2013,846.0,4378.0
B4087,"Gastrostomy/jejunostomy tube, standard, any material, any type, each",2014,648.0,3521.0
B4087,"Gastrostomy/jejunostomy tube, standard, any material, any type, each",2015,759.0,3623.0
B4088,"Gastrostomy/jejunostomy tube, low-profile, any material, any type, each",2013,80.0,557.0
B4088,"Gastrostomy/jejunostomy tube, low-profile, any material, any type, each",2014,87.0,597.0
B4088,"Gastrostomy/jejunostomy tube, low-profile, any material, any type, each",2015,37.0,361.0
B4149,"Enteral formula, manufactured blenderized natural foods with intact nutrients, includes proteins, fats, carbohydrates, vitamins and minerals, may include fiber, administered through an enteral feeding tube, 100 calories = 1 unit",2013,11.0,1295.0
B4149,"Enteral formula, manufactured blenderized natural foods with intact nutrients, includes proteins, fats, carbohydrates, vitamins and minerals, may include fiber, administered through an enteral feeding tube, 100 calories = 1 unit",2014,0.0,1220.0
B4149,"Enteral formula, manufactured blenderized natural foods with intact nutrients, includes proteins, fats, carbohydrates, vitamins and minerals, may include fiber, administered through an enteral feeding tube, 100 calories = 1 unit",2015,13.0,1045.0
B4150,"Enteral formula, nutritionally complete with intact nutrients, includes proteins, fats, carbohydrates, vitamins and minerals, may include fiber, administered through an enteral feeding tube, 100 calories = 1 unit",2013,3275.0,224827.0
B4150,"Enteral formula, nutritionally complete with intact nutrients, includes proteins, fats, carbohydrates, vitamins and minerals, may include fiber, administered through an enteral feeding tube, 100 calories = 1 unit",2014,2188.0,204151.0
B4150,"Enteral formula, nutritionally complete with intact nutrients, includes proteins, fats, carbohydrates, vitamins and minerals, may include fiber, administered through an enteral feeding tube, 100 calories = 1 unit",2015,1631.0,168438.0
B4152,"Enteral formula, nutritionally complete, calorically dense (equal to or greater than 1. 5 kcal/ml) with intact nutrients, includes proteins, fats, carbohydrates, vitamins and minerals, may include fiber, administered through an enteral feeding tube, 100 ca",2013,3804.0,202486.0
B4152,"Enteral formula, nutritionally complete, calorically dense (equal to or greater than 1.5 kcal/ml) with intact nutrients, includes proteins, fats, carbohydrates, vitamins and minerals, may include fiber, administered through an enteral feeding tube, 100 cal",2014,3082.0,208893.0
B4152,"Enteral formula, nutritionally complete, calorically dense (equal to or greater than 1.5 kcal/ml) with intact nutrients, includes proteins, fats, carbohydrates, vitamins and minerals, may include fiber, administered through an enteral feeding tube, 100 cal",2015,3148.0,201781.0
B4153,"Enteral formula, nutritionally complete, hydrolyzed proteins (amino acids and peptide chain), includes fats, carbohydrates, vitamins and minerals, may include fiber, administered through an enteral feeding tube, 100 calories = 1 unit",2013,90.0,19948.0
B4153,"Enteral formula, nutritionally complete, hydrolyzed proteins (amino acids and peptide chain), includes fats, carbohydrates, vitamins and minerals, may include fiber, administered through an enteral feeding tube, 100 calories = 1 unit",2014,84.0,21001.0
B4153,"Enteral formula, nutritionally complete, hydrolyzed proteins (amino acids and peptide chain), includes fats, carbohydrates, vitamins and minerals, may include fiber, administered through an enteral feeding tube, 100 calories = 1 unit",2015,84.0,19765.0
B4154,"Enteral formula, nutritionally complete, for special metabolic needs, excludes inherited disease of metabolism, includes altered composition of proteins, fats, carbohydrates, vitamins and/or minerals, may include fiber, administered through an enteral feed",2013,2985.0,134070.0
B4154,"Enteral formula, nutritionally complete, for special metabolic needs, excludes inherited disease of metabolism, includes altered composition of proteins, fats, carbohydrates, vitamins and/or minerals, may include fiber, administered through an enteral feed",2014,2044.0,119697.0
B4154,"Enteral formula, nutritionally complete, for special metabolic needs, excludes inherited disease of metabolism, includes altered composition of proteins, fats, carbohydrates, vitamins and/or minerals, may include fiber, administered through an enteral feed",2015,1545.0,99290.0
B4155,"Enteral formula, nutritionally incomplete/modular nutrients, includes specific nutrients, carbohydrates (e. G. Glucose polymers), proteins/amino acids (e. G. Glutamine, arginine), fat (e. G. Medium chain triglycerides) or combination, administered through",2013,705.0,31747.0
B4155,"Enteral formula, nutritionally incomplete/modular nutrients, includes specific nutrients, carbohydrates (e.g. glucose polymers), proteins/amino acids (e.g. glutamine, arginine), fat (e.g. medium chain triglycerides) or combination, administered through an",2014,417.0,29436.0
B4155,"Enteral formula, nutritionally incomplete/modular nutrients, includes specific nutrients, carbohydrates (e.g. glucose polymers), proteins/amino acids (e.g. glutamine, arginine), fat (e.g. medium chain triglycerides) or combination, administered through an",2015,492.0,23861.0
B4157,"Enteral formula, nutritionally complete, for special metabolic needs for inherited disease of metabolism, includes proteins, fats, carbohydrates, vitamins and minerals, may include fiber, administered through an enteral feeding tube, 100 calories = 1 unit",2014,0.0,11.0
B4157,"Enteral formula, nutritionally complete, for special metabolic needs for inherited disease of metabolism, includes proteins, fats, carbohydrates, vitamins and minerals, may include fiber, administered through an enteral feeding tube, 100 calories = 1 unit",2015,0.0,24.0
B4159,"Enteral formula, for pediatrics, nutritionally complete soy based with intact nutrients, includes proteins, fats, carbohydrates, vitamins and minerals, may include fiber and/or iron, administered through an enteral feeding tube, 100 calories = 1 unit",2013,0.0,12.0
B4159,"Enteral formula, for pediatrics, nutritionally complete soy based with intact nutrients, includes proteins, fats, carbohydrates, vitamins and minerals, may include fiber and/or iron, administered through an enteral feeding tube, 100 calories = 1 unit",2014,0.0,13.0
B4159,"Enteral formula, for pediatrics, nutritionally complete soy based with intact nutrients, includes proteins, fats, carbohydrates, vitamins and minerals, may include fiber and/or iron, administered through an enteral feeding tube, 100 calories = 1 unit",2015,0.0,23.0
B4160,"Enteral formula, for pediatrics, nutritionally complete calorically dense (equal to or greater than 0. 7 kcal/ml) with intact nutrients, includes proteins, fats, carbohydrates, vitamins and minerals, may include fiber, administered through an enteral feedi",2013,0.0,318.0
B4160,"Enteral formula, for pediatrics, nutritionally complete calorically dense (equal to or greater than 0.7 kcal/ml) with intact nutrients, includes proteins, fats, carbohydrates, vitamins and minerals, may include fiber, administered through an enteral feedin",2014,0.0,260.0
B4160,"Enteral formula, for pediatrics, nutritionally complete calorically dense (equal to or greater than 0.7 kcal/ml) with intact nutrients, includes proteins, fats, carbohydrates, vitamins and minerals, may include fiber, administered through an enteral feedin",2015,0.0,278.0
B4161,"Enteral formula, for pediatrics, hydrolyzed/amino acids and peptide chain proteins, includes fats, carbohydrates, vitamins and minerals, may include fiber, administered through an enteral feeding tube, 100 calories = 1 unit",2013,0.0,109.0
B4161,"Enteral formula, for pediatrics, hydrolyzed/amino acids and peptide chain proteins, includes fats, carbohydrates, vitamins and minerals, may include fiber, administered through an enteral feeding tube, 100 calories = 1 unit",2014,0.0,197.0
B4161,"Enteral formula, for pediatrics, hydrolyzed/amino acids and peptide chain proteins, includes fats, carbohydrates, vitamins and minerals, may include fiber, administered through an enteral feeding tube, 100 calories = 1 unit",2015,0.0,232.0
B4162,"Enteral formula, for pediatrics, special metabolic needs for inherited disease of metabolism, includes proteins, fats, carbohydrates, vitamins and minerals, may include fiber, administered through an enteral feeding tube, 100 calories = 1 unit",2015,0.0,12.0
B4164,"Parenteral nutrition solution:  carbohydrates (dextrose), 50% or less (500 ml = 1 unit) - homemix",2013,0.0,33.0
B4164,"Parenteral nutrition solution:  carbohydrates (dextrose), 50% or less (500 ml = 1 unit) - homemix",2015,0.0,20.0
B4168,"Parenteral nutrition solution; amino acid, 3. 5%, (500 ml = 1 unit) - homemix",2013,0.0,22.0
B4178,"Parenteral nutrition solution: amino acid, greater than 8. 5% (500 ml = 1 unit) - homemix",2013,0.0,36.0
B4178,"Parenteral nutrition solution: amino acid, greater than 8.5% (500 ml = 1 unit) - homemix",2014,0.0,74.0
B4178,"Parenteral nutrition solution: amino acid, greater than 8.5% (500 ml = 1 unit) - homemix",2015,0.0,93.0
B4180,"Parenteral nutrition solution; carbohydrates (dextrose), greater than 50% (500 ml=1 unit) - homemix",2013,0.0,25.0
B4180,"Parenteral nutrition solution; carbohydrates (dextrose), greater than 50% (500 ml=1 unit) - homemix",2014,0.0,75.0
B4180,"Parenteral nutrition solution; carbohydrates (dextrose), greater than 50% (500 ml=1 unit) - homemix",2015,0.0,74.0
B4185,"Parenteral nutrition solution, per 10 grams lipids",2013,605.0,63561.0
B4185,"Parenteral nutrition solution, per 10 grams lipids",2014,607.0,67125.0
B4185,"Parenteral nutrition solution, per 10 grams lipids",2015,586.0,70486.0
B4189,"Parenteral nutrition solution; compounded amino acid and carbohydrates with electrolytes, trace elements, and vitamins, including preparation, any strength, 10 to 51 grams of protein - premix",2013,14.0,8079.0
B4189,"Parenteral nutrition solution; compounded amino acid and carbohydrates with electrolytes, trace elements, and vitamins, including preparation, any strength, 10 to 51 grams of protein - premix",2014,0.0,7547.0
B4189,"Parenteral nutrition solution; compounded amino acid and carbohydrates with electrolytes, trace elements, and vitamins, including preparation, any strength, 10 to 51 grams of protein - premix",2015,0.0,7789.0
B4193,"Parenteral nutrition solution; compounded amino acid and carbohydrates with electrolytes, trace elements, and vitamins, including preparation, any strength, 52 to 73 grams of protein - premix",2013,85.0,18462.0
B4193,"Parenteral nutrition solution; compounded amino acid and carbohydrates with electrolytes, trace elements, and vitamins, including preparation, any strength, 52 to 73 grams of protein - premix",2014,87.0,18830.0
B4193,"Parenteral nutrition solution; compounded amino acid and carbohydrates with electrolytes, trace elements, and vitamins, including preparation, any strength, 52 to 73 grams of protein - premix",2015,68.0,19506.0
B4197,"Parenteral nutrition solution; compounded amino acid and carbohydrates with electrolytes, trace elements and vitamins, including preparation, any strength, 74 to 100 grams of protein - premix",2013,270.0,33129.0
B4197,"Parenteral nutrition solution; compounded amino acid and carbohydrates with electrolytes, trace elements and vitamins, including preparation, any strength, 74 to 100 grams of protein - premix",2014,278.0,34890.0
B4197,"Parenteral nutrition solution; compounded amino acid and carbohydrates with electrolytes, trace elements and vitamins, including preparation, any strength, 74 to 100 grams of protein - premix",2015,226.0,36459.0
B4199,"Parenteral nutrition solution; compounded amino acid and carbohydrates with electrolytes, trace elements and vitamins, including preparation, any strength, over 100 grams of protein - premix",2013,134.0,12127.0
B4199,"Parenteral nutrition solution; compounded amino acid and carbohydrates with electrolytes, trace elements and vitamins, including preparation, any strength, over 100 grams of protein - premix",2014,133.0,13228.0
B4199,"Parenteral nutrition solution; compounded amino acid and carbohydrates with electrolytes, trace elements and vitamins, including preparation, any strength, over 100 grams of protein - premix",2015,112.0,14557.0
B4216,"Parenteral nutrition; additives (vitamins, trace elements, heparin, electrolytes) homemix per day",2013,0.0,62.0
B4216,"Parenteral nutrition; additives (vitamins, trace elements, heparin, electrolytes) homemix per day",2014,0.0,87.0
B4216,"Parenteral nutrition; additives (vitamins, trace elements, heparin, electrolytes) homemix per day",2015,0.0,101.0
B4220,"Parenteral nutrition supply kit; premix, per day",2013,736.0,73532.0
B4220,"Parenteral nutrition supply kit; premix, per day",2014,707.0,75749.0
B4220,"Parenteral nutrition supply kit; premix, per day",2015,701.0,79391.0
B4222,"Parenteral nutrition supply kit; home mix, per day",2013,0.0,586.0
B4222,"Parenteral nutrition supply kit; home mix, per day",2014,0.0,688.0
B4222,"Parenteral nutrition supply kit; home mix, per day",2015,0.0,516.0
B4224,"Parenteral nutrition administration kit, per day",2013,748.0,76321.0
B4224,"Parenteral nutrition administration kit, per day",2014,712.0,78604.0
B4224,"Parenteral nutrition administration kit, per day",2015,726.0,82308.0
B5100,"Parenteral nutrition solution: compounded amino acid and carbohydrates with electrolytes, trace elements, and vitamins, including preparation, any strength, hepatic - freamine hbc, hepatamine - premix",2013,0.0,12.0
B9000,Enteral nutrition infusion pump - without alarm,2013,0.0,20.0
B9000,Enteral nutrition infusion pump - without alarm,2014,0.0,32.0
B9002,Enteral nutrition infusion pump - with alarm,2013,4972.0,89315.0
B9002,Enteral nutrition infusion pump - with alarm,2014,3681.0,83090.0
B9002,Enteral nutrition infusion pump - with alarm,2015,2878.0,68398.0
B9004,"Parenteral nutrition infusion pump, portable",2013,235.0,2266.0
B9004,"Parenteral nutrition infusion pump, portable",2014,307.0,2515.0
B9004,"Parenteral nutrition infusion pump, portable",2015,234.0,2089.0
B9006,"Parenteral nutrition infusion pump, stationary",2013,0.0,38.0
B9006,"Parenteral nutrition infusion pump, stationary",2014,0.0,24.0
B9006,"Parenteral nutrition infusion pump, stationary",2015,0.0,80.0
B9999,Noc for parenteral supplies,2013,0.0,45.0
E0100,"Cane, includes canes of all materials, adjustable or fixed, with tip",2013,8977.0,8978.0
E0100,"Cane, includes canes of all materials, adjustable or fixed, with tip",2014,7243.0,7243.0
E0100,"Cane, includes canes of all materials, adjustable or fixed, with tip",2015,6475.0,6475.0
E0105,"Cane, quad or three prong, includes canes of all materials, adjustable or fixed, with tips",2013,599.0,599.0
E0105,"Cane, quad or three prong, includes canes of all materials, adjustable or fixed, with tips",2014,497.0,497.0
E0105,"Cane, quad or three prong, includes canes of all materials, adjustable or fixed, with tips",2015,472.0,472.0
E0110,"Crutches, forearm, includes crutches of various materials, adjustable or fixed, pair, complete with tips and handgrips",2013,378.0,378.0
E0110,"Crutches, forearm, includes crutches of various materials, adjustable or fixed, pair, complete with tips and handgrips",2014,436.0,436.0
E0110,"Crutches, forearm, includes crutches of various materials, adjustable or fixed, pair, complete with tips and handgrips",2015,503.0,503.0
E0111,"Crutch forearm, includes crutches of various materials, adjustable or fixed, each, with tip and handgrips",2013,13.0,13.0
E0111,"Crutch forearm, includes crutches of various materials, adjustable or fixed, each, with tip and handgrips",2014,14.0,25.0
E0111,"Crutch forearm, includes crutches of various materials, adjustable or fixed, each, with tip and handgrips",2015,98.0,98.0
E0112,"Crutches underarm, wood, adjustable or fixed, pair, with pads, tips and handgrips",2014,12.0,12.0
E0113,"Crutch underarm, wood, adjustable or fixed, each, with pad, tip and handgrip",2014,15.0,15.0
E0114,"Crutches underarm, other than wood, adjustable or fixed, pair, with pads, tips and handgrips",2013,4103.0,4115.0
E0114,"Crutches underarm, other than wood, adjustable or fixed, pair, with pads, tips and handgrips",2014,3785.0,3785.0
E0114,"Crutches underarm, other than wood, adjustable or fixed, pair, with pads, tips and handgrips",2015,3669.0,3681.0
E0116,"Crutch, underarm, other than wood, adjustable or fixed, with pad, tip, handgrip, with or without shock absorber, each",2014,16.0,16.0
E0130,"Walker, rigid (pickup), adjustable or fixed height",2013,27.0,27.0
E0135,"Walker, folding (pickup), adjustable or fixed height",2013,2590.0,2590.0
E0135,"Walker, folding (pickup), adjustable or fixed height",2014,2386.0,2433.0
E0135,"Walker, folding (pickup), adjustable or fixed height",2015,2219.0,2231.0
E0140,"Walker, with trunk support, adjustable or fixed height, any type",2013,110.0,126.0
E0140,"Walker, with trunk support, adjustable or fixed height, any type",2014,88.0,88.0
E0140,"Walker, with trunk support, adjustable or fixed height, any type",2015,171.0,171.0
E0141,"Walker, rigid, wheeled, adjustable or fixed height",2013,355.0,378.0
E0141,"Walker, rigid, wheeled, adjustable or fixed height",2014,318.0,329.0
E0141,"Walker, rigid, wheeled, adjustable or fixed height",2015,346.0,358.0
E0143,"Walker, folding, wheeled, adjustable or fixed height",2013,239111.0,242567.0
E0143,"Walker, folding, wheeled, adjustable or fixed height",2014,213056.0,216083.0
E0143,"Walker, folding, wheeled, adjustable or fixed height",2015,216604.0,218915.0
E0147,"Walker, heavy duty, multiple braking system, variable wheel resistance",2013,71.0,85.0
E0147,"Walker, heavy duty, multiple braking system, variable wheel resistance",2014,26.0,26.0
E0147,"Walker, heavy duty, multiple braking system, variable wheel resistance",2015,49.0,60.0
E0148,"Walker, heavy duty, without wheels, rigid or folding, any type, each",2013,0.0,11.0
E0149,"Walker, heavy duty, wheeled, rigid or folding, any type",2013,29.0,44.0
E0149,"Walker, heavy duty, wheeled, rigid or folding, any type",2014,0.0,37.0
E0149,"Walker, heavy duty, wheeled, rigid or folding, any type",2015,22.0,118.0
E0153,"Platform attachment, forearm crutch, each",2013,0.0,23.0
E0154,"Platform attachment, walker, each",2013,107.0,485.0
E0154,"Platform attachment, walker, each",2014,60.0,344.0
E0154,"Platform attachment, walker, each",2015,43.0,467.0
E0155,"Wheel attachment, rigid pick-up walker, per pair",2013,111.0,122.0
E0155,"Wheel attachment, rigid pick-up walker, per pair",2014,284.0,284.0
E0156,"Seat attachment, walker",2013,21631.0,21931.0
E0156,"Seat attachment, walker",2014,17194.0,17386.0
E0156,"Seat attachment, walker",2015,19014.0,19186.0
E0157,"Crutch attachment, walker, each",2013,14.0,14.0
E0158,"Leg extensions for walker, per set of four (4)",2013,12.0,12.0
E0158,"Leg extensions for walker, per set of four (4)",2014,27.0,27.0
E0158,"Leg extensions for walker, per set of four (4)",2015,17.0,17.0
E0159,"Brake attachment for wheeled walker, replacement, each",2013,0.0,34.0
E0159,"Brake attachment for wheeled walker, replacement, each",2014,61.0,90.0
E0159,"Brake attachment for wheeled walker, replacement, each",2015,137.0,150.0
E0160,"Sitz type bath or equipment, portable, used with or without commode",2013,13.0,13.0
E0160,"Sitz type bath or equipment, portable, used with or without commode",2014,12.0,12.0
E0163,"Commode chair, mobile or stationary, with fixed arms",2013,98087.0,98514.0
E0163,"Commode chair, mobile or stationary, with fixed arms",2014,78244.0,78501.0
E0163,"Commode chair, mobile or stationary, with fixed arms",2015,80302.0,80619.0
E0165,"Commode chair, mobile or stationary, with detachable arms",2013,1951.0,46223.0
E0165,"Commode chair, mobile or stationary, with detachable arms",2014,1702.0,38087.0
E0165,"Commode chair, mobile or stationary, with detachable arms",2015,1699.0,37970.0
E0167,"Pail or pan for use with commode chair, replacement only",2013,0.0,13.0
E0168,"Commode chair, extra wide and/or heavy duty, stationary or mobile, with or without arms, any type, each",2013,114.0,692.0
E0168,"Commode chair, extra wide and/or heavy duty, stationary or mobile, with or without arms, any type, each",2014,194.0,447.0
E0168,"Commode chair, extra wide and/or heavy duty, stationary or mobile, with or without arms, any type, each",2015,198.0,532.0
E0170,"Commode chair with integrated seat lift mechanism, electric, any type",2014,0.0,13.0
E0171,"Commode chair with integrated seat lift mechanism, non-electric, any type",2013,0.0,12.0
E0171,"Commode chair with integrated seat lift mechanism, non-electric, any type",2014,0.0,173.0
E0171,"Commode chair with integrated seat lift mechanism, non-electric, any type",2015,0.0,12.0
E0181,"Powered pressure reducing mattress overlay/pad, alternating, with pump, includes heavy duty",2013,655.0,62247.0
E0181,"Powered pressure reducing mattress overlay/pad, alternating, with pump, includes heavy duty",2014,412.0,44455.0
E0181,"Powered pressure reducing mattress overlay/pad, alternating, with pump, includes heavy duty",2015,454.0,39594.0
E0182,"Pump for alternating pressure pad, for replacement only",2013,0.0,147.0
E0182,"Pump for alternating pressure pad, for replacement only",2014,0.0,138.0
E0182,"Pump for alternating pressure pad, for replacement only",2015,0.0,102.0
E0184,Dry pressure mattress,2013,270.0,1750.0
E0184,Dry pressure mattress,2014,233.0,1431.0
E0184,Dry pressure mattress,2015,346.0,2008.0
E0185,"Gel or gel-like pressure pad for mattress, standard mattress length and width",2013,2145.0,3145.0
E0185,"Gel or gel-like pressure pad for mattress, standard mattress length and width",2014,2413.0,3043.0
E0185,"Gel or gel-like pressure pad for mattress, standard mattress length and width",2015,2550.0,3161.0
E0186,Air pressure mattress,2013,0.0,473.0
E0186,Air pressure mattress,2014,11.0,192.0
E0186,Air pressure mattress,2015,0.0,123.0
E0188,Synthetic sheepskin pad,2013,1016.0,1024.0
E0188,Synthetic sheepskin pad,2014,1179.0,1223.0
E0188,Synthetic sheepskin pad,2015,688.0,714.0
E0189,"Lambswool sheepskin pad, any size",2013,221.0,238.0
E0189,"Lambswool sheepskin pad, any size",2014,126.0,143.0
E0189,"Lambswool sheepskin pad, any size",2015,298.0,309.0
E0193,Powered air flotation bed (low air loss therapy),2013,0.0,81.0
E0193,Powered air flotation bed (low air loss therapy),2014,0.0,37.0
E0193,Powered air flotation bed (low air loss therapy),2015,0.0,11.0
E0194,Air fluidized bed,2013,27.0,764.0
E0194,Air fluidized bed,2014,0.0,275.0
E0194,Air fluidized bed,2015,0.0,332.0
E0196,Gel pressure mattress,2013,0.0,224.0
E0196,Gel pressure mattress,2014,0.0,178.0
E0196,Gel pressure mattress,2015,0.0,243.0
E0197,"Air pressure pad for mattress, standard mattress length and width",2013,0.0,41.0
E0197,"Air pressure pad for mattress, standard mattress length and width",2014,0.0,35.0
E0197,"Air pressure pad for mattress, standard mattress length and width",2015,12.0,26.0
E0199,"Dry pressure pad for mattress, standard mattress length and width",2013,12.0,12.0
E0199,"Dry pressure pad for mattress, standard mattress length and width",2015,17.0,17.0
E0202,Phototherapy (bilirubin) light with photometer,2015,0.0,12.0
E0210,"Electric heat pad, standard",2013,1203.0,1214.0
E0210,"Electric heat pad, standard",2014,981.0,982.0
E0210,"Electric heat pad, standard",2015,829.0,829.0
E0235,"Paraffin bath unit, portable (see medical supply code a4265 for paraffin)",2013,344.0,6705.0
E0235,"Paraffin bath unit, portable (see medical supply code a4265 for paraffin)",2014,136.0,4042.0
E0235,"Paraffin bath unit, portable (see medical supply code a4265 for paraffin)",2015,48.0,2459.0
E0250,"Hospital bed, fixed height, with any type side rails, with mattress",2013,69.0,9142.0
E0250,"Hospital bed, fixed height, with any type side rails, with mattress",2014,287.0,18356.0
E0250,"Hospital bed, fixed height, with any type side rails, with mattress",2015,697.0,24772.0
E0251,"Hospital bed, fixed height, with any type side rails, without mattress",2013,0.0,95.0
E0251,"Hospital bed, fixed height, with any type side rails, without mattress",2014,0.0,69.0
E0251,"Hospital bed, fixed height, with any type side rails, without mattress",2015,0.0,70.0
E0255,"Hospital bed, variable height, hi-lo, with any type side rails, with mattress",2013,193.0,13112.0
E0255,"Hospital bed, variable height, hi-lo, with any type side rails, with mattress",2014,570.0,18514.0
E0255,"Hospital bed, variable height, hi-lo, with any type side rails, with mattress",2015,435.0,16821.0
E0256,"Hospital bed, variable height, hi-lo, with any type side rails, without mattres",2013,0.0,552.0
E0256,"Hospital bed, variable height, hi-lo, with any type side rails, without mattres",2014,0.0,133.0
E0256,"Hospital bed, variable height, hi-lo, with any type side rails, without mattres",2015,0.0,205.0
E0260,"Hospital bed, semi-electric (head and foot adjustment), with any type side rails, with mattress",2013,66853.0,1116559.0
E0260,"Hospital bed, semi-electric (head and foot adjustment), with any type side rails, with mattress",2014,42842.0,797932.0
E0260,"Hospital bed, semi-electric (head and foot adjustment), with any type side rails, with mattress",2015,37399.0,718670.0
E0261,"Hospital bed, semi-electric (head and foot adjustment), with any type side rails, without mattress",2013,1013.0,42768.0
E0261,"Hospital bed, semi-electric (head and foot adjustment), with any type side rails, without mattress",2014,618.0,27525.0
E0261,"Hospital bed, semi-electric (head and foot adjustment), with any type side rails, without mattress",2015,837.0,35053.0
E0271,"Mattress, innerspring",2013,118.0,447.0
E0271,"Mattress, innerspring",2014,166.0,411.0
E0271,"Mattress, innerspring",2015,281.0,655.0
E0272,"Mattress, foam rubber",2013,18.0,70.0
E0272,"Mattress, foam rubber",2014,0.0,36.0
E0272,"Mattress, foam rubber",2015,13.0,47.0
E0275,"Bed pan, standard, metal or plastic",2015,0.0,12.0
E0277,Powered pressure-reducing air mattress,2013,632.0,29516.0
E0277,Powered pressure-reducing air mattress,2014,351.0,22496.0
E0277,Powered pressure-reducing air mattress,2015,312.0,18488.0
E0290,"Hospital bed, fixed height, without side rails, with mattress",2013,0.0,11.0
E0290,"Hospital bed, fixed height, without side rails, with mattress",2014,0.0,23.0
E0290,"Hospital bed, fixed height, without side rails, with mattress",2015,0.0,22.0
E0292,"Hospital bed, variable height, hi-lo, without side rails, with mattress",2013,0.0,80.0
E0292,"Hospital bed, variable height, hi-lo, without side rails, with mattress",2014,0.0,11.0
E0292,"Hospital bed, variable height, hi-lo, without side rails, with mattress",2015,0.0,22.0
E0294,"Hospital bed, semi-electric (head and foot adjustment), without side rails, with mattress",2013,18.0,2495.0
E0294,"Hospital bed, semi-electric (head and foot adjustment), without side rails, with mattress",2014,56.0,4046.0
E0294,"Hospital bed, semi-electric (head and foot adjustment), without side rails, with mattress",2015,246.0,4540.0
E0295,"Hospital bed, semi-electric (head and foot adjustment), without side rails, without mattress",2013,82.0,5522.0
E0295,"Hospital bed, semi-electric (head and foot adjustment), without side rails, without mattress",2014,137.0,5123.0
E0295,"Hospital bed, semi-electric (head and foot adjustment), without side rails, without mattress",2015,307.0,5358.0
E0300,"Pediatric crib, hospital grade, fully enclosed, with or without top enclosure",2014,0.0,11.0
E0301,"Hospital bed, heavy duty, extra wide, with weight capacity greater than 350 pounds, but less than or equal to 600 pounds, with any type side rails, without mattress",2013,0.0,803.0
E0301,"Hospital bed, heavy duty, extra wide, with weight capacity greater than 350 pounds, but less than or equal to 600 pounds, with any type side rails, without mattress",2014,0.0,699.0
E0301,"Hospital bed, heavy duty, extra wide, with weight capacity greater than 350 pounds, but less than or equal to 600 pounds, with any type side rails, without mattress",2015,0.0,693.0
E0302,"Hospital bed, extra heavy duty, extra wide, with weight capacity greater than 600 pounds, with any type side rails, without mattress",2013,0.0,149.0
E0302,"Hospital bed, extra heavy duty, extra wide, with weight capacity greater than 600 pounds, with any type side rails, without mattress",2014,0.0,35.0
E0302,"Hospital bed, extra heavy duty, extra wide, with weight capacity greater than 600 pounds, with any type side rails, without mattress",2015,0.0,45.0
E0303,"Hospital bed, heavy duty, extra wide, with weight capacity greater than 350 pounds, but less than or equal to 600 pounds, with any type side rails, with mattress",2013,0.0,10027.0
E0303,"Hospital bed, heavy duty, extra wide, with weight capacity greater than 350 pounds, but less than or equal to 600 pounds, with any type side rails, with mattress",2014,0.0,7171.0
E0303,"Hospital bed, heavy duty, extra wide, with weight capacity greater than 350 pounds, but less than or equal to 600 pounds, with any type side rails, with mattress",2015,0.0,6477.0
E0304,"Hospital bed, extra heavy duty, extra wide, with weight capacity greater than 600 pounds, with any type side rails, with mattress",2013,0.0,297.0
E0304,"Hospital bed, extra heavy duty, extra wide, with weight capacity greater than 600 pounds, with any type side rails, with mattress",2014,0.0,204.0
E0304,"Hospital bed, extra heavy duty, extra wide, with weight capacity greater than 600 pounds, with any type side rails, with mattress",2015,0.0,114.0
E0305,"Bed side rails, half length",2013,0.0,1494.0
E0305,"Bed side rails, half length",2014,14.0,1118.0
E0305,"Bed side rails, half length",2015,18.0,719.0
E0310,"Bed side rails, full length",2013,20.0,297.0
E0310,"Bed side rails, full length",2014,39.0,149.0
E0310,"Bed side rails, full length",2015,90.0,113.0
E0316,"Safety enclosure frame/canopy for use with hospital bed, any type",2013,0.0,23.0
E0325,"Urinal; male, jug-type, any material",2013,0.0,124.0
E0325,"Urinal; male, jug-type, any material",2014,0.0,173.0
E0325,"Urinal; male, jug-type, any material",2015,0.0,94.0
